,x,f(x),C(x),|C-f|
0,-1.0,0.038461538461538464,0.037015756581042294,0.0014457818804961692
1,-0.95,0.042440318302387266,0.040848662320706705,0.0015916559816805606
2,-0.8999999999999999,0.04705882352941177,0.04868520388230062,0.0016263803528888468
3,-0.8499999999999999,0.05245901639344263,0.05226088151435455,0.0001981348790880827
4,-0.7999999999999998,0.05882352941176473,0.056713493565136865,0.002110035846627868
5,-0.7499999999999998,0.06639004149377598,0.06716919912228929,0.0007791576285133134
6,-0.6999999999999997,0.07547169811320761,0.07825214531342288,0.0027804472002152664
7,-0.6499999999999997,0.08648648648648656,0.08653369598291039,4.7209496423825104e-05
8,-0.5999999999999996,0.1000000000000001,0.09641293906073249,0.003587060939267611
9,-0.5499999999999996,0.11678832116788336,0.11412551140120217,0.002662809766681193
10,-0.49999999999999956,0.1379310344827588,0.1405234709581318,0.0025924364753729945
11,-0.4499999999999995,0.16494845360824772,0.17112411912804099,0.006175665519793261
12,-0.39999999999999947,0.20000000000000043,0.20276313950677896,0.0027631395067785336
13,-0.3499999999999994,0.2461538461538468,0.24017480260171448,0.005979043552132329
14,-0.2999999999999994,0.3076923076923086,0.29633274011015903,0.011359567582149566
15,-0.24999999999999933,0.3902439024390257,0.3853350330930633,0.004908869345962408
16,-0.1999999999999993,0.5000000000000018,0.5118945489204786,0.01189454892047681
17,-0.14999999999999925,0.6400000000000023,0.6638540989481968,0.023854098948194458
18,-0.0999999999999992,0.8000000000000026,0.8126059682352971,0.012605968235294474
19,-0.049999999999999156,0.9411764705882373,0.9220734634270815,0.01910300716115576
20,8.881784197001252e-16,1.0,0.9624096711070927,0.037590328892907254
21,0.05000000000000093,0.9411764705882333,0.9220734634270783,0.019103007161154983
22,0.10000000000000098,0.7999999999999968,0.8126059682352916,0.012605968235294807
23,0.15000000000000102,0.6399999999999969,0.6638540989481907,0.02385409894819379
24,0.20000000000000107,0.49999999999999734,0.511894548920473,0.0118945489204757
25,0.2500000000000011,0.3902439024390223,0.3853350330930592,0.004908869345963074
26,0.30000000000000115,0.30769230769230604,0.2963327401101564,0.011359567582149621
27,0.3500000000000012,0.24615384615384486,0.24017480260171284,0.005979043552132024
28,0.40000000000000124,0.199999999999999,0.2027631395067775,0.002763139506778478
29,0.4500000000000013,0.16494845360824664,0.17112411912803938,0.0061756655197927335
30,0.5000000000000013,0.13793103448275798,0.14052347095813025,0.002592436475372273
31,0.5500000000000014,0.11678832116788271,0.11412551140120117,0.00266280976668154
32,0.6000000000000014,0.09999999999999958,0.0964129390607324,0.003587060939267181
33,0.6500000000000015,0.08648648648648613,0.08653369598291102,4.720949642489369e-05
34,0.7000000000000015,0.07547169811320724,0.07825214531342334,0.002780447200216099
35,0.7500000000000016,0.06639004149377567,0.0671691991222891,0.0007791576285134244
36,0.8000000000000016,0.05882352941176448,0.05671349356513625,0.002110035846628236
37,0.8500000000000016,0.05245901639344243,0.05226088151435426,0.00019813487908816596
38,0.9000000000000017,0.0470588235294116,0.04868520388230056,0.0016263803528889648
39,0.9500000000000017,0.04244031830238712,0.0408486623207064,0.0015916559816807202
40,1.0000000000000018,0.03846153846153833,0.03701575658104131,0.0014457818804970227
