,x,f(x),P(x),|P-f|
0,-1.0,0.038461538461538464,0.03846153846097877,5.59691182289157e-13
1,-0.95,0.042440318302387266,-39.952449033041376,39.994889351343765
2,-0.8999999999999999,0.04705882352941177,0.04705882352940672,5.051514762044462e-15
3,-0.8499999999999999,0.05245901639344263,3.4549577998641077,3.4024987834706653
4,-0.7999999999999998,0.05882352941176473,0.058823529411748295,1.6438239658356224e-14
5,-0.7499999999999998,0.06639004149377598,-0.447051960708833,0.5134420022026089
6,-0.6999999999999997,0.07547169811320761,0.07547169811321007,2.456368441983159e-15
7,-0.6499999999999997,0.08648648648648656,0.2024226157045598,0.11593612921807324
8,-0.5999999999999996,0.1000000000000001,0.09999999999999916,9.43689570931383e-16
9,-0.5499999999999996,0.11678832116788336,0.08065999342165608,0.036128327746227276
10,-0.49999999999999956,0.1379310344827588,0.13793103448275926,4.440892098500626e-16
11,-0.4499999999999995,0.16494845360824772,0.17976262990059833,0.0148141762923506
12,-0.39999999999999947,0.20000000000000043,0.2000000000000002,2.220446049250313e-16
13,-0.3499999999999994,0.2461538461538468,0.23844593373813333,0.007707912415713475
14,-0.2999999999999994,0.3076923076923086,0.3076923076923087,1.1102230246251565e-16
15,-0.24999999999999933,0.3902439024390257,0.39509305368778075,0.004849151248755068
16,-0.1999999999999993,0.5000000000000018,0.5000000000000016,2.220446049250313e-16
17,-0.14999999999999925,0.6400000000000023,0.6367553359164351,0.0032446640835672724
18,-0.0999999999999992,0.8000000000000026,0.8000000000000026,0.0
19,-0.049999999999999156,0.9411764705882373,0.9424903797439868,0.0013139091557494709
20,8.881784197001252e-16,1.0,0.9999999999999998,2.220446049250313e-16
21,0.05000000000000093,0.9411764705882333,0.942490379743983,0.001313909155749693
22,0.10000000000000098,0.7999999999999968,0.799999999999997,2.220446049250313e-16
23,0.15000000000000102,0.6399999999999969,0.6367553359164297,0.0032446640835671614
24,0.20000000000000107,0.49999999999999734,0.4999999999999975,1.6653345369377348e-16
25,0.2500000000000011,0.3902439024390223,0.3950930536877774,0.004849151248755124
26,0.30000000000000115,0.30769230769230604,0.3076923076923058,2.220446049250313e-16
27,0.3500000000000012,0.24615384615384486,0.23844593373813142,0.007707912415713447
28,0.40000000000000124,0.199999999999999,0.19999999999999957,5.551115123125783e-16
29,0.4500000000000013,0.16494845360824664,0.1797626299005974,0.014814176292350767
30,0.5000000000000013,0.13793103448275798,0.13793103448275673,1.2490009027033011e-15
31,0.5500000000000014,0.11678832116788271,0.08065999342165445,0.03612832774622826
32,0.6000000000000014,0.09999999999999958,0.10000000000000304,3.469446951953614e-15
33,0.6500000000000015,0.08648648648648613,0.20242261570456324,0.11593612921807711
34,0.7000000000000015,0.07547169811320724,0.07547169811319424,1.3003487175922146e-14
35,0.7500000000000016,0.06639004149377567,-0.4470519607088492,0.5134420022026249
36,0.8000000000000016,0.05882352941176448,0.0588235294118428,7.831929549340089e-14
37,0.8500000000000016,0.05245901639344243,3.4549577998642507,3.4024987834708083
38,0.9000000000000017,0.0470588235294116,0.047058823528667505,7.440922877854916e-13
39,0.9500000000000017,0.04244031830238712,-39.95244903304359,39.99488935134598
40,1.0000000000000018,0.03846153846153833,0.03846153847505293,1.3514599161990049e-11
