x,y,z
1.0,-0.5397861833817076,-0.46021381661829236
1.0,-0.25795481447693597,-0.742045185523064
1.0,-0.7390692034013329,-0.2609307965986671
1.0,-0.7326607177247846,-0.26733928227521536
0.021645476463685236,-1.0,0.9783545235363147
0.01192735890237214,0.9880726410976278,-1.0
0.26794997652198316,0.7320500234780168,-1.0
0.7304937271159284,0.2695062728840716,-1.0
-1.0,0.2654457411784568,0.734554258821543
-0.2087337735617237,1.0,-0.7912662264382764
1.0,-0.7781367199527178,-0.2218632800472821
-0.6391355205628343,-0.36086447943716565,1.0
-0.7330101226906804,-0.2669898773093195,1.0
-0.32300709569921265,-0.6769929043007874,1.0
-0.6348017516583241,-0.36519824834167586,1.0
-0.4067825729975369,-0.5932174270024632,1.0
-0.6738923360476609,-0.3261076639523391,1.0
0.5808892742198243,-1.0,0.41911072578017566
0.26448243643687824,-1.0,0.7355175635631218
0.5629274758531142,-1.0,0.43707252414688574
0.575790937977923,-1.0,0.4242090620220769
0.6554314945873007,-1.0,0.3445685054126993
-0.10185260567229186,1.0,-0.8981473943277081
0.6850817117794672,-1.0,0.31491828822053275
0.7265830079711946,-1.0,0.2734169920288054
0.848086468357578,0.15191353164242213,-1.0
-1.0,0.8676243785194213,0.13237562148057866
-0.5164671532093021,1.0,-0.48353284679069786
-0.4115282593554339,1.0,-0.5884717406445661
-0.12762826932284055,1.0,-0.8723717306771595
-0.06764032303155598,1.0,-0.932359676968444
-0.6449371054283581,1.0,-0.35506289457164186
-0.6164729814152206,1.0,-0.38352701858477944
-0.049344849831327475,1.0,-0.9506551501686725
-0.046529905007478445,1.0,-0.9534700949925216
1.0,-0.37672957865941425,-0.6232704213405859
-0.01589595361416755,1.0,-0.9841040463858324
-1.0,0.1601363810395453,0.8398636189604547
-1.0,0.36853752786232574,0.6314624721376743
-1.0,0.3045661772743591,0.6954338227256409
-1.0,0.1847016373387963,0.8152983626612037
-1.0,0.37265643890045563,0.6273435610995444
-1.0,0.5516497334250863,0.4483502665749137
-1.0,0.31104306506367163,0.6889569349363284
1.0,-0.793477772002869,-0.20652222799713113
-0.6946465691491351,-0.30535343085086486,1.0
-0.6066674255392503,-0.39333257446074965,1.0
0.20589264180958722,-1.0,0.7941073581904128
0.4080246908720828,-1.0,0.5919753091279172
0.1784190464268126,-1.0,0.8215809535731874
0.17246396772188533,-1.0,0.8275360322781147
0.5756998422985835,-1.0,0.4243001577014165
0.5458037241742029,-1.0,0.45419627582579714
0.18827947070724216,-1.0,0.8117205292927578
0.46737852474792474,-1.0,0.5326214752520753
0.9957019152385693,-1.0,0.004298084761430677
-0.05116289063130993,1.0,-0.9488371093686901
0.8708651417799089,0.129134858220091,-1.0
0.8505933918471311,0.1494066081528688,-1.0
0.8599676870557476,0.14003231294425236,-1.0
-0.698273557681262,1.0,-0.30172644231873796
-0.7064826544840321,1.0,-0.2935173455159678
-0.5083350894773725,1.0,-0.49166491052262745
-0.330923652065718,1.0,-0.669076347934282
-0.3955709334672533,1.0,-0.6044290665327466
1.0,-0.30347519892188285,-0.6965248010781172
1.0,-0.5048661686789048,-0.4951338313210953
1.0,-0.6290011596059489,-0.3709988403940511
-0.23148566431702347,-0.7685143356829766,1.0
-0.8337686576641149,-0.16623134233588507,1.0
-0.015022717256245563,-0.9849772827437544,1.0
-1.0,0.7063869536034715,0.2936130463965286
-1.0,0.7442672574431444,0.2557327425568557
-0.6334737424345253,-0.3665262575654748,1.0
-0.7333139852395046,-0.2666860147604954,1.0
0.46795627575769744,-1.0,0.5320437242423025
0.4349866595741572,-1.0,0.5650133404258427
0.49447327462286755,-1.0,0.5055267253771324
0.7402976999635529,-1.0,0.2597023000364472
0.16965877002996047,0.8303412299700396,-1.0
-1.0,0.809491161728868,0.19050883827113205
-0.33894977941723115,1.0,-0.6610502205827687
1.0,-0.4739707965267581,-0.5260292034732419
1.0,-0.7404622484099619,-0.2595377515900381
1.0,-0.4532369441419619,-0.5467630558580381
1.0,-0.38267008344691034,-0.6173299165530897
-0.19297839148919968,-0.8070216085108003,1.0
-0.8084773773266621,-0.1915226226733379,1.0
0.7651501554982887,-1.0,0.2348498445017114
-1.0,0.9369473967132453,0.06305260328675467
0.5706629551168044,0.4293370448831955,-1.0
0.3285199870802164,0.6714800129197837,-1.0
0.6913073409321747,0.3086926590678252,-1.0
0.2897495029016352,0.7102504970983649,-1.0
-0.16724919403189967,1.0,-0.8327508059681002
-1.0,0.9135341166704727,0.08646588332952736
0.012905920596617585,0.9870940794033825,-1.0
0.7964337502394349,0.20356624976056517,-1.0
-1.0,0.7638896209917481,0.23611037900825185
-0.2527835496017132,1.0,-0.7472164503982869
